project;class;from;to;metric
PMD;net.sourceforge.pmd.rules.MoreThanOneLogger;List;Map;1.0
PMD;net.sourceforge.pmd.rules.MoreThanOneLogger;List;Set;1.0
PMD;net.sourceforge.pmd.rules.SymbolTableTestRule;List;Map;0.0
PMD;net.sourceforge.pmd.rules.SymbolTableTestRule;List;Set;1.0
PMD;net.sourceforge.pmd.rules.UnnecessaryConversionTemporary;Set;List;0.0
PMD;net.sourceforge.pmd.rules.UnnecessaryConversionTemporary;Set;Map;1.0
PMD;net.sourceforge.pmd.rules.UnusedFormalParameterRule;Map;List;1.0
PMD;net.sourceforge.pmd.rules.UnusedFormalParameterRule;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.UnusedModifier;Map;List;1.0
PMD;net.sourceforge.pmd.rules.UnusedModifier;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.UnusedPrivateFieldRule;Map;List;1.0
PMD;net.sourceforge.pmd.rules.UnusedPrivateFieldRule;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.UnusedPrivateMethodRule;List;Map;0.0
PMD;net.sourceforge.pmd.rules.UnusedPrivateMethodRule;List;Set;0.0
PMD;net.sourceforge.pmd.rules.UnusedPrivateMethodRule;Map;List;0.47
PMD;net.sourceforge.pmd.rules.UnusedPrivateMethodRule;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.UnusedPrivateMethodRule;Set;List;0.0
PMD;net.sourceforge.pmd.rules.UnusedPrivateMethodRule;Set;Map;1.0
PMD;net.sourceforge.pmd.rules.UselessAssignment;List;Map;0.0
PMD;net.sourceforge.pmd.rules.UselessAssignment;List;Set;0.85
PMD;net.sourceforge.pmd.rules.UselessAssignment;Map;List;0.55
PMD;net.sourceforge.pmd.rules.UselessAssignment;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.UselessOperationOnImmutable;Map;List;0.47
PMD;net.sourceforge.pmd.rules.UselessOperationOnImmutable;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.UselessOperationOnImmutable;Set;List;0.0
PMD;net.sourceforge.pmd.rules.UselessOperationOnImmutable;Set;Map;1.0
PMD;net.sourceforge.pmd.rules.UselessOverridingMethod;List;Map;0.39
PMD;net.sourceforge.pmd.rules.UselessOverridingMethod;List;Set;0.6
PMD;net.sourceforge.pmd.rules.XPathRule;List;Map;0.44
PMD;net.sourceforge.pmd.rules.XPathRule;List;Set;0.85
PMD;net.sourceforge.pmd.rules.XPathRule;Map;List;0.93
PMD;net.sourceforge.pmd.rules.XPathRule;Map;Set;0.92
PMD;net.sourceforge.pmd.rules.basic.BooleanInstantiation;List;Map;0.0
PMD;net.sourceforge.pmd.rules.basic.BooleanInstantiation;List;Set;0.0
PMD;net.sourceforge.pmd.rules.basic.BrokenNullCheck;List;Map;0.39
PMD;net.sourceforge.pmd.rules.basic.BrokenNullCheck;List;Set;0.6
PMD;net.sourceforge.pmd.rules.design.AssignmentToNonFinalStatic;Map;List;1.0
PMD;net.sourceforge.pmd.rules.design.AssignmentToNonFinalStatic;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.design.CompareObjectsWithEquals;List;Map;0.0
PMD;net.sourceforge.pmd.rules.design.CompareObjectsWithEquals;List;Set;0.0
PMD;net.sourceforge.pmd.rules.design.ExceptionAsFlowControl;List;Map;0.0
