project;class;from;to;metric
Jedit;org.gjt.sp.jedit.indent.DeepIndentRule;List;Set;0.77
Jedit;org.gjt.sp.jedit.indent.OpenBracketIndentRule;List;Map;0.92
Jedit;org.gjt.sp.jedit.indent.OpenBracketIndentRule;List;Set;0.77
Jedit;org.gjt.sp.jedit.indent.RegexpIndentRule;List;Map;1.0
Jedit;org.gjt.sp.jedit.indent.RegexpIndentRule;List;Set;0.75
Jedit;org.gjt.sp.jedit.indent.WhitespaceRule;List;Map;1.0
Jedit;org.gjt.sp.jedit.indent.WhitespaceRule;List;Set;0.75
Jedit;org.gjt.sp.jedit.input.AbstractInputHandler;Map;List;0.75
Jedit;org.gjt.sp.jedit.input.AbstractInputHandler;Map;Set;0.82
Jedit;org.gjt.sp.jedit.input.TextAreaInputHandler;Map;List;0.75
Jedit;org.gjt.sp.jedit.input.TextAreaInputHandler;Map;Set;1.0
Jedit;org.gjt.sp.jedit.io.AutoDetection;List;Map;1.0
Jedit;org.gjt.sp.jedit.io.AutoDetection;List;Set;0.75
Jedit;org.gjt.sp.jedit.io.EncodingServer;List;Map;1.0
Jedit;org.gjt.sp.jedit.io.EncodingServer;List;Set;0.75
Jedit;org.gjt.sp.jedit.io.EncodingServer;Map;List;1.0
Jedit;org.gjt.sp.jedit.io.EncodingServer;Map;Set;1.0
Jedit;org.gjt.sp.jedit.io.EncodingServer;Set;List;0.83
Jedit;org.gjt.sp.jedit.io.EncodingServer;Set;Map;1.0
Jedit;org.gjt.sp.jedit.io.EncodingWithBOM.Detector;Map;List;1.0
Jedit;org.gjt.sp.jedit.io.EncodingWithBOM.Detector;Map;Set;1.0
Jedit;org.gjt.sp.jedit.io.EncodingWithBOM;Map;List;0.75
Jedit;org.gjt.sp.jedit.io.EncodingWithBOM;Map;Set;1.0
Jedit;org.gjt.sp.jedit.io.FavoritesVFS;List;Map;0.96
