"project";"class";"from";"to";"category";"metric"
"Jedit";"org.gjt.sp.jedit.options.EncodingsOptionPane";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.options.EncodingsOptionPane";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.gui.PanelWindowContainer";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.gui.PanelWindowContainer";"List";"Map";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.gui.PanelWindowContainer";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.gui.PanelWindowContainer";"List";"Map";"other";0.87
"Jedit";"org.gjt.sp.jedit.gui.PanelWindowContainer";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.gui.PanelWindowContainer";"List";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.gui.PanelWindowContainer";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.gui.PanelWindowContainer";"List";"Set";"other";0.83
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.ManagePanelRestoreHandler";"Set";"List";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.ManagePanelRestoreHandler";"Set";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.bufferset.BufferSet";"List";"Map";"search";1.0
"Jedit";"org.gjt.sp.jedit.bufferset.BufferSet";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.bufferset.BufferSet";"List";"Map";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.bufferset.BufferSet";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.bufferset.BufferSet";"List";"Map";"other";0.87
"Jedit";"org.gjt.sp.jedit.bufferset.BufferSet";"List";"Set";"search";0.75
"Jedit";"org.gjt.sp.jedit.bufferset.BufferSet";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.bufferset.BufferSet";"List";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.bufferset.BufferSet";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.bufferset.BufferSet";"List";"Set";"other";0.75
"Jedit";"org.gjt.sp.jedit.bsh.classpath.BshClassPath.AmbiguousName";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.bsh.classpath.BshClassPath.AmbiguousName";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.gui.JCheckBoxList";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.gui.JCheckBoxList";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.gui.JCheckBoxList";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.gui.JCheckBoxList";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.gui.JCheckBoxList";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.gui.JCheckBoxList";"List";"Set";"other";0.83
"Jedit";"org.gjt.sp.jedit.search.SearchDialog";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.search.SearchDialog";"Map";"List";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.search.SearchDialog";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.search.SearchDialog";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.search.SearchDialog";"Map";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.search.SearchDialog";"Map";"Set";"insertion";1.0
"Jedit";"com.microstar.xml.XmlParser";"List";"Map";"deletion";1.0
"Jedit";"com.microstar.xml.XmlParser";"List";"Map";"insertion";1.0
"Jedit";"com.microstar.xml.XmlParser";"List";"Map";"other";0.87
"Jedit";"com.microstar.xml.XmlParser";"List";"Set";"deletion";1.0
"Jedit";"com.microstar.xml.XmlParser";"List";"Set";"insertion";1.0
"Jedit";"com.microstar.xml.XmlParser";"List";"Set";"other";0.83
"Jedit";"com.microstar.xml.XmlParser";"Map";"List";"access";0.75
"Jedit";"com.microstar.xml.XmlParser";"Map";"List";"insertion";1.0
"Jedit";"com.microstar.xml.XmlParser";"Map";"Set";"access";1.0
"Jedit";"com.microstar.xml.XmlParser";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.buffer.IndentFoldHandler";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.buffer.IndentFoldHandler";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.RemoveButton";"List";"Map";"deletion";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.RemoveButton";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.RemoveButton";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.RemoveButton";"List";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.RemoveButton";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.RemoveButton";"List";"Set";"other";0.83
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.RemoveButton";"Set";"List";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.ManagePanel.RemoveButton";"Set";"List";"other";0.83
