"project";"class";"from";"to";"category";"metric"
"PMD";"net.sourceforge.pmd.renderers.IDEAJRenderer.SourcePath";"Set";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.CloneMethodMustImplementCloneable";"List";"Map";"search";1.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.CloneMethodMustImplementCloneable";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.CloneMethodMustImplementCloneable";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.CloneMethodMustImplementCloneable";"List";"Set";"search";0.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.CloneMethodMustImplementCloneable";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.CloneMethodMustImplementCloneable";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.dcd.asm.TypeSignatureVisitor";"List";"Map";"deletion";0.0
"PMD";"net.sourceforge.pmd.dcd.asm.TypeSignatureVisitor";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.dcd.asm.TypeSignatureVisitor";"List";"Map";"other";0.93
"PMD";"net.sourceforge.pmd.dcd.asm.TypeSignatureVisitor";"List";"Set";"deletion";0.0
"PMD";"net.sourceforge.pmd.dcd.asm.TypeSignatureVisitor";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.dcd.asm.TypeSignatureVisitor";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.cpd.GUI.SaveListener";"List";"Map";"other";0.93
"PMD";"net.sourceforge.pmd.cpd.GUI.SaveListener";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.dfa.SequenceChecker";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.dfa.SequenceChecker";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.dfa.SequenceChecker";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.dfa.SequenceChecker";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.strings.AvoidDuplicateLiteralsRule.ExceptionParser";"Set";"List";"insertion";0.0
"PMD";"net.sourceforge.pmd.rules.strings.AvoidDuplicateLiteralsRule.ExceptionParser";"Set";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.imports.UnusedImports";"Set";"List";"search";0.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.imports.UnusedImports";"Set";"List";"deletion";0.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.imports.UnusedImports";"Set";"List";"insertion";0.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.imports.UnusedImports";"Set";"List";"other";0.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.imports.UnusedImports";"Set";"Map";"search";1.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.imports.UnusedImports";"Set";"Map";"deletion";0.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.imports.UnusedImports";"Set";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.imports.UnusedImports";"Set";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.rules.imports.DontImportJavaLang";"Set";"List";"search";0.0
"PMD";"net.sourceforge.pmd.rules.imports.DontImportJavaLang";"Set";"Map";"search";1.0
"PMD";"net.sourceforge.pmd.util.TypeMap";"Map";"List";"search";1.0
"PMD";"net.sourceforge.pmd.util.TypeMap";"Map";"List";"access";0.0
"PMD";"net.sourceforge.pmd.util.TypeMap";"Map";"List";"insertion";1.0
"PMD";"net.sourceforge.pmd.util.TypeMap";"Map";"Set";"search";1.0
"PMD";"net.sourceforge.pmd.util.TypeMap";"Map";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.util.TypeMap";"Map";"Set";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.IdempotentOperations";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.rules.IdempotentOperations";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.symboltable.TypeSet";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.symboltable.TypeSet";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.symboltable.TypeSet";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.symboltable.TypeSet";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.symboltable.TypeSet";"Set";"List";"insertion";0.0
"PMD";"net.sourceforge.pmd.symboltable.TypeSet";"Set";"List";"other";0.0
"PMD";"net.sourceforge.pmd.symboltable.TypeSet";"Set";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.symboltable.TypeSet";"Set";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.jaxen.AttributeAxisIterator";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.jaxen.AttributeAxisIterator";"List";"Map";"other";0.93
"PMD";"net.sourceforge.pmd.jaxen.AttributeAxisIterator";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.jaxen.AttributeAxisIterator";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.jaxen.AttributeAxisIterator";"Map";"List";"search";1.0
"PMD";"net.sourceforge.pmd.jaxen.AttributeAxisIterator";"Map";"List";"access";0.0
"PMD";"net.sourceforge.pmd.jaxen.AttributeAxisIterator";"Map";"List";"insertion";1.0
"PMD";"net.sourceforge.pmd.jaxen.AttributeAxisIterator";"Map";"Set";"search";1.0
"PMD";"net.sourceforge.pmd.jaxen.AttributeAxisIterator";"Map";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.jaxen.AttributeAxisIterator";"Map";"Set";"insertion";1.0
